sample,chromosome,start,end,segVal
HRR226274,1,1000001,2000000,3
HRR226274,1,2000001,3000000,3
HRR226274,1,3000001,4000000,1
HRR226274,1,4000001,5000000,3
HRR226274,1,6000001,7000000,2
HRR226274,1,7000001,8000000,3
HRR226274,1,10000001,11000000,2
HRR226274,1,11000001,12000000,3
HRR226274,1,12000001,13000000,3
HRR226274,1,13000001,14000000,2
HRR226274,1,14000001,15000000,3
HRR226274,1,15000001,16000000,2
HRR226274,1,17000001,18000000,3
HRR226274,1,18000001,19000000,3
HRR226274,1,19000001,20000000,2
HRR226274,1,20000001,21000000,2
HRR226274,1,21000001,22000000,2
HRR226274,1,22000001,23000000,3
HRR226274,1,23000001,24000000,2
HRR226274,1,24000001,25000000,2
HRR226274,1,25000001,26000000,3
HRR226274,1,26000001,27000000,1
HRR226274,1,27000001,28000000,2
HRR226274,1,28000001,29000000,1
HRR226274,1,29000001,30000000,2
HRR226274,1,30000001,31000000,3
HRR226274,1,31000001,32000000,2
HRR226274,1,34000001,35000000,2
HRR226274,1,35000001,36000000,2
HRR226274,1,36000001,37000000,3
HRR226274,1,37000001,38000000,2
HRR226274,1,39000001,40000000,2
HRR226274,1,40000001,41000000,1
HRR226274,1,41000001,42000000,2
HRR226274,1,42000001,43000000,2
HRR226274,1,43000001,44000000,2
HRR226274,1,44000001,45000000,2
HRR226274,1,45000001,46000000,2
HRR226274,1,46000001,47000000,3
HRR226274,1,47000001,48000000,3
HRR226274,1,48000001,49000000,2
HRR226274,1,49000001,50000000,2
HRR226274,1,51000001,52000000,2
HRR226274,1,53000001,54000000,2
HRR226274,1,54000001,55000000,2
HRR226274,1,56000001,57000000,2
HRR226274,1,57000001,58000000,2
HRR226274,1,58000001,59000000,2
HRR226274,1,59000001,60000000,2
HRR226274,1,60000001,61000000,3
HRR226274,1,61000001,62000000,2
HRR226274,1,62000001,63000000,2
HRR226274,1,63000001,64000000,2
HRR226274,1,64000001,65000000,2
HRR226274,1,65000001,66000000,2
HRR226274,1,68000001,69000000,2
HRR226274,1,69000001,70000000,2
HRR226274,1,70000001,71000000,2
HRR226274,1,71000001,72000000,2
