sample,chromosome,start,end,segVal
HRR226279,1,1000001,5000000,3
HRR226279,1,6000001,14000000,2
HRR226279,1,14000001,19000000,3
HRR226279,1,19000001,46000000,2
HRR226279,1,46000001,49000000,3
HRR226279,1,49000001,248956422,2
HRR226279,2,2000001,24000000,2
HRR226279,2,25000001,28000000,1
HRR226279,2,28000001,239000000,2
HRR226279,2,239000001,242000000,1
HRR226279,3,1,56000000,2
HRR226279,3,56000001,58000000,3
HRR226279,3,58000001,198000000,2
HRR226279,4,1000001,189000000,2
HRR226279,5,1000001,177000000,2
HRR226279,5,178000001,181000000,1
HRR226279,6,2000001,167000000,2
HRR226279,6,167000001,170805979,1
HRR226279,7,1,1000000,1
HRR226279,7,1000001,159000000,2
HRR226279,8,1,145000000,2
HRR226279,9,1,138000000,2
HRR226279,10,1,133000000,2
HRR226279,11,1,135086622,2
HRR226279,12,1000001,133275309,2
HRR226279,13,20000001,114364328,2
HRR226279,14,19000001,105000000,2
HRR226279,15,23000001,101991189,2
HRR226279,16,1,8000000,2
HRR226279,16,8000001,16000000,3
HRR226279,16,17000001,24000000,2
HRR226279,16,24000001,28000000,3
HRR226279,16,28000001,32000000,1
HRR226279,16,47000001,90000000,2
HRR226279,17,1000001,83257441,2
HRR226279,18,1,77000000,2
HRR226279,18,78000001,80373285,1
HRR226279,19,1000001,58617616,2
HRR226279,20,1,64444167,2
HRR226279,21,14000001,46709983,2
HRR226279,22,17000001,50000000,2
