sample,chromosome,start,end,segVal
HRR226272,1,1000001,14000000,5
HRR226272,1,14000001,19000000,6
HRR226272,1,19000001,26000000,5
HRR226272,1,26000001,30000000,4
HRR226272,1,30000001,73000000,5
HRR226272,1,74000001,79000000,6
HRR226272,1,79000001,118000000,5
HRR226272,1,118000001,119000000,6
HRR226272,1,119000001,120000000,7
HRR226272,1,147000001,153000000,11
HRR226272,1,153000001,155000000,13
HRR226272,1,155000001,156000000,12
HRR226272,1,156000001,158000000,11
HRR226272,1,160000001,169000000,5
HRR226272,1,171000001,177000000,6
HRR226272,1,177000001,179000000,5
HRR226272,1,179000001,183000000,4
HRR226272,1,183000001,203000000,5
HRR226272,1,203000001,206000000,6
HRR226272,1,206000001,248956422,5
HRR226272,2,2000001,7000000,5
HRR226272,2,7000001,10000000,4
HRR226272,2,10000001,24000000,5
HRR226272,2,25000001,28000000,4
HRR226272,2,28000001,29000000,5
HRR226272,2,29000001,35000000,6
HRR226272,2,35000001,107000000,5
HRR226272,2,107000001,110000000,6
HRR226272,2,112000001,134000000,5
HRR226272,2,134000001,136000000,6
HRR226272,2,136000001,164000000,5
HRR226272,2,165000001,171000000,4
HRR226272,2,171000001,175000000,5
HRR226272,2,175000001,178000000,4
HRR226272,2,178000001,181000000,5
HRR226272,2,181000001,185000000,6
HRR226272,2,185000001,194000000,5
HRR226272,2,194000001,198000000,6
HRR226272,2,198000001,219000000,5
HRR226272,2,219000001,222000000,4
HRR226272,2,222000001,239000000,5
HRR226272,2,239000001,242000000,4
HRR226272,3,1,47000000,4
HRR226272,3,47000001,52000000,3
HRR226272,3,52000001,82000000,4
HRR226272,3,83000001,86000000,9
HRR226272,3,86000001,89000000,6
HRR226272,3,94000001,109000000,5
HRR226272,3,109000001,113000000,6
HRR226272,3,113000001,117000000,5
HRR226272,3,117000001,122000000,6
HRR226272,3,123000001,135000000,5
HRR226272,3,135000001,141000000,6
HRR226272,3,141000001,197000000,5
HRR226272,3,197000001,198000000,4
HRR226272,4,1000001,3000000,2
HRR226272,4,3000001,32000000,1
HRR226272,4,33000001,34000000,2
HRR226272,4,34000001,38000000,3
HRR226272,4,38000001,43000000,2
HRR226272,4,43000001,59000000,3
HRR226272,4,59000001,60000000,2
HRR226272,4,60000001,62000000,1
HRR226272,4,62000001,63000000,2
HRR226272,4,63000001,70000000,3
HRR226272,4,70000001,77000000,2
HRR226272,4,77000001,124000000,3
HRR226272,4,124000001,127000000,2
HRR226272,4,127000001,136000000,3
HRR226272,4,136000001,140000000,2
HRR226272,4,141000001,150000000,3
HRR226272,4,150000001,153000000,2
HRR226272,4,153000001,171000000,3
HRR226272,4,171000001,189000000,2
HRR226272,5,1000001,2000000,5
HRR226272,5,2000001,18000000,6
HRR226272,5,18000001,24000000,7
HRR226272,5,24000001,31000000,6
HRR226272,5,31000001,36000000,7
HRR226272,5,36000001,40000000,6
HRR226272,5,40000001,52000000,7
HRR226272,5,52000001,53000000,4
HRR226272,5,53000001,54000000,3
HRR226272,5,54000001,57000000,2
HRR226272,5,57000001,73000000,3
HRR226272,5,74000001,77000000,2
HRR226272,5,77000001,79000000,3
HRR226272,5,81000001,82000000,4
HRR226272,5,82000001,110000000,5
HRR226272,5,110000001,114000000,6
HRR226272,5,114000001,129000000,5
HRR226272,5,129000001,132000000,6
HRR226272,5,132000001,134000000,5
HRR226272,5,135000001,142000000,4
HRR226272,5,142000001,154000000,5
HRR226272,5,154000001,157000000,6
HRR226272,5,157000001,177000000,5
HRR226272,5,178000001,181000000,4
HRR226272,6,2000001,7000000,5
HRR226272,6,7000001,13000000,4
HRR226272,6,13000001,50000000,5
HRR226272,6,50000001,56000000,6
HRR226272,6,56000001,75000000,5
HRR226272,6,75000001,85000000,6
HRR226272,6,85000001,119000000,5
HRR226272,6,119000001,122000000,6
HRR226272,6,123000001,166000000,5
HRR226272,6,166000001,170805979,4
HRR226272,7,1,3000000,4
HRR226272,7,3000001,71000000,5
HRR226272,7,71000001,87000000,6
HRR226272,7,87000001,92000000,7
HRR226272,7,92000001,95000000,6
HRR226272,7,96000001,99000000,7
HRR226272,7,99000001,116000000,6
HRR226272,7,116000001,120000000,7
HRR226272,7,120000001,132000000,6
HRR226272,7,132000001,137000000,7
HRR226272,7,137000001,156000000,6
HRR226272,7,156000001,159000000,5
HRR226272,8,1,4000000,2
HRR226272,8,4000001,10000000,3
HRR226272,8,10000001,27000000,2
HRR226272,8,27000001,39000000,3
HRR226272,8,39000001,43000000,2
HRR226272,8,47000001,50000000,3
HRR226272,8,51000001,60000000,2
HRR226272,8,60000001,93000000,3
HRR226272,8,93000001,102000000,2
HRR226272,8,104000001,144000000,3
HRR226272,8,144000001,145000000,4
HRR226272,9,1,94000000,4
HRR226272,9,94000001,99000000,3
HRR226272,9,99000001,121000000,4
HRR226272,9,121000001,127000000,3
HRR226272,9,127000001,134000000,4
HRR226272,9,135000001,138000000,5
HRR226272,10,1,2000000,5
HRR226272,10,3000001,14000000,6
HRR226272,10,14000001,23000000,7
HRR226272,10,23000001,30000000,6
HRR226272,10,31000001,35000000,7
HRR226272,10,35000001,36000000,6
HRR226272,10,43000001,77000000,3
HRR226272,10,78000001,82000000,4
HRR226272,10,82000001,100000000,3
HRR226272,10,101000001,104000000,2
HRR226272,10,104000001,110000000,3
HRR226272,10,110000001,112000000,4
HRR226272,10,113000001,133000000,3
HRR226272,11,1,1000000,3
HRR226272,11,1000001,6000000,4
HRR226272,11,6000001,10000000,3
HRR226272,11,11000001,31000000,4
HRR226272,11,31000001,34000000,3
HRR226272,11,34000001,44000000,4
HRR226272,11,44000001,58000000,3
HRR226272,11,58000001,61000000,2
