sample,chromosome,start,end,segVal
HRR226278,1,1000001,15000000,2
HRR226278,1,15000001,19000000,3
HRR226278,1,19000001,248956422,2
HRR226278,2,2000001,242000000,2
HRR226278,3,1,198000000,2
HRR226278,4,1000001,189000000,2
HRR226278,5,1000001,177000000,2
HRR226278,5,178000001,181000000,1
HRR226278,6,2000001,167000000,2
HRR226278,6,167000001,170805979,1
HRR226278,7,1,1000000,1
HRR226278,7,1000001,156000000,2
HRR226278,7,156000001,159000000,1
HRR226278,8,1,1000000,1
HRR226278,8,1000001,145000000,2
HRR226278,9,1,138000000,2
HRR226278,10,1,133000000,2
HRR226278,11,1,135086622,2
HRR226278,12,1000001,133275309,2
HRR226278,13,20000001,112000000,2
HRR226278,13,112000001,114364328,1
HRR226278,14,19000001,105000000,2
HRR226278,15,23000001,101991189,2
HRR226278,16,1,10000000,2
HRR226278,16,11000001,15000000,3
HRR226278,16,15000001,25000000,2
HRR226278,16,25000001,28000000,3
HRR226278,16,28000001,90000000,2
HRR226278,17,1000001,83257441,2
HRR226278,18,1,76000000,2
HRR226278,18,76000001,80373285,1
HRR226278,19,1000001,58617616,2
HRR226278,20,1,64444167,2
HRR226278,21,14000001,46709983,2
HRR226278,22,17000001,50000000,2
